      pressure observation  flag
227            1009.479980  b'Z'
228            1009.520020  b'Z'
229            1009.580017  b'Z'
230            1009.599976  b'Z'
231            1009.599976  b'Z'
232            1009.599976  b'Z'
233            1009.570007  b'Z'
234            1009.510010  b'Z'
235            1009.500000  b'Z'
236            1009.500000  b'Z'
237            1009.520020  b'Z'
238            1009.559998  b'Z'
239            1009.580017  b'Z'
240            1009.570007  b'Z'
241            1009.489990  b'Z'
242            1009.510010  b'Z'
243            1009.500000  b'Z'
244            1009.500000  b'Z'
245            1009.489990  b'Z'
246            1009.469971  b'Z'
247            1009.429993  b'Z'
248            1009.409973  b'Z'
249            1009.409973  b'Z'
250            1009.369995  b'Z'
251            1009.400024  b'Z'
252            1009.390015  b'Z'
253            1009.380005  b'Z'
254            1009.400024  b'Z'
255            1009.390015  b'Z'
256            1009.380005  b'Z'
257            1009.359985  b'Z'
258            1009.270020  b'Z'
259            1009.359985  b'Z'
260            1009.349976  b'Z'
261            1009.299988  b'Z'
262            1009.289978  b'Z'
263            1009.330017  b'Z'
264            1009.320007  b'Z'
265            1009.299988  b'Z'
266            1009.280029  b'Z'
267            1009.179993  b'Z'
268            1009.179993  b'Z'
269            1009.219971  b'Z'
270            1009.250000  b'Z'
271            1009.229980  b'Z'
272            1009.200012  b'Z'
273            1009.190002  b'Z'
274            1009.150024  b'Z'
275            1009.169983  b'Z'
276            1009.169983  b'Z'
277            1009.039978  b'Z'
278            1008.979980  b'Z'
279            1009.059998  b'Z'
280            1009.010010  b'Z'
281            1009.000000  b'Z'
282            1008.929993  b'Z'
283            1008.940002  b'Z'
284            1008.940002  b'Z'
285            1008.950012  b'Z'
286            1008.989990  b'Z'
287            1008.989990  b'Z'
288            1009.000000  b'Z'
289            1008.969971  b'Z'
290            1008.919983  b'Z'
291            1008.880005  b'Z'
292            1008.799988  b'Z'
293            1008.659973  b'Z'
294            1008.700012  b'Z'
295            1008.679993  b'Z'
296            1008.640015  b'Z'
297            1008.630005  b'Z'
298            1008.619995  b'Z'
299            1008.599976  b'Z'
300            1008.590027  b'Z'
301            1008.549988  b'Z'
302            1008.479980  b'Z'
303            1008.400024  b'Z'
304            1008.320007  b'Z'
305            1008.280029  b'Z'
306            1008.260010  b'Z'
307            1008.260010  b'Z'
308            1008.250000  b'Z'
309            1008.239990  b'Z'
310            1008.289978  b'Z'
311            1008.349976  b'Z'
312            1008.380005  b'Z'
313            1008.559998  b'Z'
314            1008.659973  b'Z'
315            1008.650024  b'Z'
316            1008.690002  b'Z'
317            1008.710022  b'Z'
318            1008.640015  b'Z'
319            1008.520020  b'Z'
320            1008.380005  b'Z'
321            1008.299988  b'Z'
322            1008.239990  b'Z'
323            1008.190002  b'Z'
324            1008.059998  b'Z'
325            1008.030029  b'Z'
326            1007.960022  b'Z'
327            1007.880005  b'Z'
328            1007.809998  b'Z'
329            1007.690002  b'Z'
330            1007.549988  b'Z'
331            1007.500000  b'Z'
332            1007.520020  b'Z'
333            1007.530029  b'Z'
334            1007.479980  b'Z'
335            1007.419983  b'Z'
336            1007.400024  b'Z'
337            1007.400024  b'Z'
338            1007.409973  b'Z'
339            1007.419983  b'Z'
340            1007.429993  b'Z'
341            1007.479980  b'Z'
342            1007.539978  b'Z'
343            1007.599976  b'Z'
344            1007.599976  b'Z'
345            1007.640015  b'Z'
346            1007.690002  b'Z'
347            1007.750000  b'Z'
348            1007.780029  b'Z'
349            1007.780029  b'Z'
350            1007.789978  b'Z'
351            1007.799988  b'Z'
352            1007.869995  b'Z'
353            1007.919983  b'Z'
354            1008.020020  b'Z'
355            1008.090027  b'Z'
356            1008.159973  b'Z'
357            1008.200012  b'Z'
358            1008.229980  b'Z'
359            1008.260010  b'Z'
360            1008.250000  b'Z'
361            1008.219971  b'Z'
362            1008.169983  b'Z'
363            1008.140015  b'Z'
364            1008.109985  b'Z'
365            1008.140015  b'Z'
366            1008.109985  b'Z'
367            1008.109985  b'Z'
368            1008.109985  b'Z'
369            1008.099976  b'Z'
370            1008.080017  b'Z'
371            1008.059998  b'Z'
372            1008.080017  b'Z'
373            1008.059998  b'Z'
374            1008.049988  b'Z'
375            1008.070007  b'Z'
376            1008.090027  b'Z'
377            1008.099976  b'Z'
378            1008.070007  b'Z'
379            1008.059998  b'Z'
380            1008.070007  b'Z'
381            1008.039978  b'Z'
382            1008.020020  b'Z'
383            1008.030029  b'Z'
384            1008.030029  b'Z'
385            1008.059998  b'Z'
386            1008.070007  b'Z'
387            1008.090027  b'Z'
388            1008.059998  b'Z'
389            1008.109985  b'Z'
390            1008.119995  b'Z'
391            1008.119995  b'Z'
392            1008.140015  b'Z'
393            1008.130005  b'Z'
394            1008.140015  b'Z'
395            1008.169983  b'Z'
396            1008.150024  b'Z'
397            1008.109985  b'Z'
398            1008.090027  b'Z'
399            1008.039978  b'Z'
400            1007.940002  b'Z'
401            1008.000000  b'Z'
402            1008.000000  b'Z'
403            1008.000000  b'Z'
404            1007.960022  b'Z'
405            1007.900024  b'Z'
406            1007.890015  b'Z'
407            1007.900024  b'Z'
408            1007.880005  b'Z'
409            1007.830017  b'Z'
410            1007.820007  b'Z'
411            1007.830017  b'Z'
412            1007.820007  b'Z'
413            1007.809998  b'Z'
414            1007.799988  b'Z'
415            1007.799988  b'Z'
416            1007.780029  b'Z'
417            1007.739990  b'Z'
418            1007.750000  b'Z'
419            1007.700012  b'Z'
420            1007.700012  b'Z'
421            1007.710022  b'Z'
422            1007.700012  b'Z'
423            1007.700012  b'Z'
